H01	EVM core opcodes & execution	horizontal	packages/evm	The low-level EVM (opcodes, gas, journal, message frame).
H02	VM runner (block/tx execution)	horizontal	packages/vm	Wraps EVM with block/tx-level orchestration (runTx, runBlock, hardfork transitions).
H03	State manager	horizontal	packages/state	Account/storage/code state including fork-mode proxying and persistence.
H04	Blockchain + receipts + persistence	horizontal	packages/blockchain packages/receipt-manager packages/sync-storage-persister	Chain head, reorg, block storage, receipt index, persister interface.
H05	Block, Tx, TxPool	horizontal	packages/block packages/tx packages/txpool	Block/tx data structures, tx pool semantics (replacement, eviction, nonces).
H06	Trie, RLP, utils, address	horizontal	packages/trie packages/rlp packages/utils packages/address	Foundational primitives. Look hard at trie correctness + RLP edge cases.
H07	Errors, logger, common, consensus, effect	horizontal	packages/errors packages/logger packages/common packages/consensus packages/effect	Cross-cutting infra: error taxonomy, logging discipline, chain Common, consensus glue.
H08	JSON-RPC transport (jsonrpc + http-client + server)	horizontal	packages/jsonrpc packages/http-client packages/server	Wire-format, request/response framing, batching, server middleware, error mapping.
H09	Actions (handlers backing every method)	horizontal	packages/actions	The big one. eth_*/anvil_*/debug_*/tevm_* handlers and Call/Contract/Deploy/Mine internals.
H10	Procedures, decorators, memory-client, node, client-types	horizontal	packages/procedures packages/decorators packages/memory-client packages/client-types packages/node	Public client surface that composes actions into the Tevm node + memory client.
H11	Contract, predeploys, precompiles	horizontal	packages/contract packages/predeploys packages/precompiles	Contract typing, custom precompiles, predeployed contracts (e.g. OP-stack).
H12	Bundler core	horizontal	bundler-packages/base-bundler bundler-packages/bundler-cache bundler-packages/compiler bundler-packages/config bundler-packages/resolutions bundler-packages/runtime bundler-packages/solc bundler-packages/whatsabi	Shared bundler pipeline: config load, resolution, solc invocation, codegen.
H13	Bundler plugins (esbuild/vite/webpack/rollup/etc.)	horizontal	bundler-packages/bun bundler-packages/esbuild bundler-packages/rollup bundler-packages/rspack bundler-packages/vite bundler-packages/webpack bundler-packages/unplugin bundler-packages/requirejs bundler-packages/tevm-run bundler-packages/mud	Plugin adapters around the core. Hot-reload, source maps, watch correctness.
H14	Rust bundler components	horizontal	bundler-packages/resolutions-rs bundler-packages/runtime-rs bundler-packages/solc-rs	Rust ports of resolution/runtime/solc. Look at FFI boundaries, error mapping, parity with JS.
H15	Extensions + LSP + CLI	horizontal	extensions lsp cli	Viem/ethers extensions, ts-plugin/vscode LSP, CLI binary.
H16	Top-level tevm package + test infra	horizontal	tevm test	Public barrel package (entrypoint surface) and the test harness packages.
